Amplitude,Shift,Frequency,Element Ratio,Error
0.81812,0.0,1.0,0.31622776601683794,0.9263146816119194
0.81812,0.0,1.0,1.0,0.9380391367476859
0.81812,0.0,1.0,3.1622776601683795,0.9261963633788679
0.81812,0.0,1.0,10.0,0.9096331170510003
0.81812,1.5708,1.0,0.1,0.9185975548351356
0.81812,1.5708,1.0,0.31622776601683794,0.9462888259737322
0.81812,1.5708,1.0,1.0,0.9656750420757281
0.81812,1.5708,1.0,3.1622776601683795,0.9467671888694335
0.81812,1.5708,1.0,10.0,0.9197179461743996
0.81812,3.14159,1.0,0.1,0.9351253492783125
0.81812,3.14159,1.0,0.31622776601683794,0.9849187700970838
0.81812,3.14159,1.0,1.0,1.0
0.81812,3.14159,1.0,3.1622776601683795,0.985052942783449
0.81812,3.14159,1.0,10.0,0.9356391106542193
0.81812,4.71239,1.0,0.1,0.9179646584481276
0.81812,4.71239,1.0,0.31622776601683794,0.9453035358493019
0.81812,4.71239,1.0,1.0,0.9648314982297188
0.81812,4.71239,1.0,3.1622776601683795,0.9461506339936471
0.81812,4.71239,1.0,10.0,0.9192049581588316
0.81812,6.28319,1.0,0.1,0.9097257388345202
0.81812,6.28319,1.0,0.31622776601683794,0.9263148050705605
0.81812,6.28319,1.0,1.0,0.9380391822177523
0.81812,6.28319,1.0,3.1622776601683795,0.9261936165037739
0.81812,6.28319,1.0,10.0,0.9096333641526883
1.0472,0.0,1.0,0.1,0.898484197559356
1.0472,0.0,1.0,0.31622776601683794,0.9280547348105354
1.0472,0.0,1.0,1.0,0.9481649436569067
1.0472,0.0,1.0,3.1622776601683795,0.9279992211803835
1.0472,0.0,1.0,10.0,0.8990511812655272
1.0472,1.5708,1.0,0.1,0.9047038913028741
1.0472,1.5708,1.0,0.31622776601683794,0.9403549976892224
1.0472,1.5708,1.0,1.0,0.9655067782970236
1.0472,1.5708,1.0,3.1622776601683795,0.9414577894302603
1.0472,1.5708,1.0,10.0,0.9061223205994885
1.0472,3.14159,1.0,0.1,0.9230906851840595
1.0472,3.14159,1.0,0.31622776601683794,0.9836182994039371
1.0472,3.14159,1.0,1.0,1.0
1.0472,3.14159,1.0,3.1622776601683795,0.9839211829969537
1.0472,3.14159,1.0,10.0,0.9234489769083248
1.0472,4.71239,1.0,0.1,0.9040515464508502
1.0472,4.71239,1.0,0.31622776601683794,0.9397098993061365
1.0472,4.71239,1.0,1.0,0.9644896557284224
1.0472,4.71239,1.0,3.1622776601683795,0.9404584352915155
1.0472,4.71239,1.0,10.0,0.9055274498637124
1.0472,6.28319,1.0,0.1,0.8984838119228377
1.0472,6.28319,1.0,0.31622776601683794,0.9280551290593215
1.0472,6.28319,1.0,1.0,0.9481646315999687
1.0472,6.28319,1.0,3.1622776601683795,0.9279996397863622
1.0472,6.28319,1.0,10.0,0.8990509435305676
0.1309,0.0,6.0,0.1,0.7488648222042718
0.1309,0.0,6.0,0.31622776601683794,0.7497519982293498
0.1309,0.0,6.0,1.0,0.7501501695136609
0.1309,0.0,6.0,3.1622776601683795,0.7499027731976372
0.1309,0.0,6.0,10.0,0.7490522522332358
0.1309,1.5708,6.0,0.1,0.784688897518344
0.1309,1.5708,6.0,0.31622776601683794,0.8323881997964478
0.1309,1.5708,6.0,1.0,0.8653917667696959
0.1309,1.5708,6.0,3.1622776601683795,0.8316487732723196
0.1309,1.5708,6.0,10.0,0.7847272065846236
0.1309,3.14159,6.0,0.1,0.8211682099348889
0.1309,3.14159,6.0,0.31622776601683794,0.9266944919642817
0.1309,3.14159,6.0,1.0,1.0
0.1309,3.14159,6.0,3.1622776601683795,0.926798798927588
0.1309,3.14159,6.0,10.0,0.8209735067498432
0.1309,4.71239,6.0,0.1,0.7824881319886838
0.1309,4.71239,6.0,0.31622776601683794,0.8272454589399771
0.1309,4.71239,6.0,1.0,0.8610352640900027
0.1309,4.71239,6.0,3.1622776601683795,0.8292567203703632
0.1309,4.71239,6.0,10.0,0.7834398935540072
0.1309,6.28319,6.0,0.1,0.7489310840345037
0.1309,6.28319,6.0,0.31622776601683794,0.7498112075200069
0.1309,6.28319,6.0,1.0,0.750187306224429
0.1309,6.28319,6.0,3.1622776601683795,0.7496131227970796
0.1309,6.28319,6.0,10.0,0.7491695502874139
0.35997,0.0,6.0,0.1,0.49875390159936217
0.35997,0.0,6.0,0.31622776601683794,0.5115750815772292
0.35997,0.0,6.0,1.0,0.5195197822038432
0.35997,0.0,6.0,3.1622776601683795,0.5111158285632145
0.35997,0.0,6.0,10.0,0.4990983690574773
0.35997,1.5708,6.0,0.1,0.555408708138234
0.35997,1.5708,6.0,0.31622776601683794,0.6475546767036372
0.35997,1.5708,6.0,1.0,0.7194813119050231
0.35997,1.5708,6.0,3.1622776601683795,0.6455496506743762
0.35997,1.5708,6.0,10.0,0.5558452958003757
0.35997,3.14159,6.0,0.1,0.6218243053373742
0.35997,3.14159,6.0,0.31622776601683794,0.8459832138008806
0.35997,3.14159,6.0,1.0,1.0
0.35997,3.14159,6.0,3.1622776601683795,0.8482704428450363
0.35997,3.14159,6.0,10.0,0.62153346395564
0.35997,4.71239,6.0,0.1,0.5520264891189731
0.35997,4.71239,6.0,0.31622776601683794,0.6382036241843109
0.35997,4.71239,6.0,1.0,0.7088917953991345
0.35997,4.71239,6.0,3.1622776601683795,0.6416070290951232
0.35997,4.71239,6.0,10.0,0.5545676606569846
0.35997,6.28319,6.0,0.1,0.49982304680838663
0.35997,6.28319,6.0,0.31622776601683794,0.5119120248283974
0.35997,6.28319,6.0,1.0,0.5185494738141779
0.35997,6.28319,6.0,3.1622776601683795,0.5104312117920282
0.35997,6.28319,6.0,10.0,0.4993829047199184
0.58905,0.0,6.0,0.1,0.3577473547080129
0.58905,0.0,6.0,0.31622776601683794,0.3963336999684581
0.58905,0.0,6.0,1.0,0.4244182342506004
0.58905,0.0,6.0,3.1622776601683795,0.3966755737598483
0.58905,0.0,6.0,10.0,0.3574266961022505
0.58905,1.5708,6.0,0.1,0.4129383077976894
0.58905,1.5708,6.0,0.31622776601683794,0.5365308597046727
0.58905,1.5708,6.0,1.0,0.6452153390976344
0.58905,1.5708,6.0,3.1622776601683795,0.5373802489197012
0.58905,1.5708,6.0,10.0,0.4133160158326096
0.58905,3.14159,6.0,0.1,0.495587155662804
0.58905,3.14159,6.0,0.31622776601683794,0.8096085902556134
0.58905,3.14159,6.0,1.0,1.0
0.58905,3.14159,6.0,3.1622776601683795,0.8095726745447189
0.58905,3.14159,6.0,10.0,0.496921109979621
0.58905,4.71239,6.0,0.1,0.40999051069529224
0.58905,4.71239,6.0,0.31622776601683794,0.5288282621656702
0.58905,4.71239,6.0,1.0,0.6264211581296995
0.58905,4.71239,6.0,3.1622776601683795,0.5309238969427218
0.58905,4.71239,6.0,10.0,0.4110166352921183
0.58905,6.28319,6.0,0.1,0.356737801246369
0.58905,6.28319,6.0,0.31622776601683794,0.39574497643048984
0.58905,6.28319,6.0,1.0,0.4243220316600406
0.58905,6.28319,6.0,3.1622776601683795,0.39659630598131984
0.58905,6.28319,6.0,10.0,0.3582674945255046
0.81812,0.0,6.0,0.1,0.27633858360517294
0.81812,0.0,6.0,0.31622776601683794,0.35688807977877185
0.81812,0.0,6.0,1.0,0.4212409911222149
0.81812,0.0,6.0,3.1622776601683795,0.3577853418972938
0.81812,0.0,6.0,10.0,0.2767673945674715
0.81812,1.5708,6.0,0.1,0.3199055730976707
0.81812,1.5708,6.0,0.31622776601683794,0.47604631851741774
0.81812,1.5708,6.0,1.0,0.6089887219997873
0.81812,1.5708,6.0,3.1622776601683795,0.47447260565327715
0.81812,1.5708,6.0,10.0,0.3198272487114099
0.81812,3.14159,6.0,0.1,0.40800809385501974
0.81812,3.14159,6.0,0.31622776601683794,0.7900063327798678
0.81812,3.14159,6.0,1.0,1.0
0.81812,3.14159,6.0,3.1622776601683795,0.7928651693772647
0.81812,3.14159,6.0,10.0,0.4078640941896104
0.81812,4.71239,6.0,0.1,0.3155640167911589
0.81812,4.71239,6.0,0.31622776601683794,0.4664821356525899
0.81812,4.71239,6.0,1.0,0.597369952396823
0.81812,4.71239,6.0,3.1622776601683795,0.4696551406524512
0.81812,4.71239,6.0,10.0,0.31732086021230793
0.81812,6.28319,6.0,0.1,0.2768519760914104
0.81812,6.28319,6.0,0.31622776601683794,0.35812058494197363
0.81812,6.28319,6.0,1.0,0.4213537818179459
0.81812,6.28319,6.0,3.1622776601683795,0.35800864464878634
0.81812,6.28319,6.0,10.0,0.2768804688011468
1.0472,0.0,6.0,0.1,0.23749757480088549
1.0472,0.0,6.0,0.31622776601683794,0.37100433361503465
1.0472,0.0,6.0,1.0,0.4865735644305211
1.0472,0.0,6.0,3.1622776601683795,0.37121335169120095
1.0472,0.0,6.0,10.0,0.23645643832060823
1.0472,1.5708,6.0,0.1,0.2607089418370002
1.0472,1.5708,6.0,0.31622776601683794,0.4440697909770889
1.0472,1.5708,6.0,1.0,0.611891787780372
1.0472,1.5708,6.0,3.1622776601683795,0.44505462055472583
1.0472,1.5708,6.0,10.0,0.2609435787931295
1.0472,3.14159,6.0,0.1,0.3450414180086984
1.0472,3.14159,6.0,0.31622776601683794,0.7787110075960834
1.0472,3.14159,6.0,1.0,1.0
1.0472,3.14159,6.0,3.1622776601683795,0.7837253939377686
1.0472,3.14159,6.0,10.0,0.34791398111266264
1.0472,4.71239,6.0,0.1,0.2564038424716502
1.0472,4.71239,6.0,0.31622776601683794,0.4341086341058118
1.0472,4.71239,6.0,1.0,0.6005148947755222
1.0472,4.71239,6.0,3.1622776601683795,0.43927809774072835
1.0472,4.71239,6.0,10.0,0.2580730894131863
1.0472,6.28319,6.0,0.1,0.23611038570840556
1.0472,6.28319,6.0,0.31622776601683794,0.37100420032077597
1.0472,6.28319,6.0,1.0,0.4870441799968672
1.0472,6.28319,6.0,3.1622776601683795,0.3710420446577334
1.0472,6.28319,6.0,10.0,0.23682228620250692
0.1309,0.0,11.0,0.1,0.6176849197222412
0.1309,0.0,11.0,0.31622776601683794,0.6181941767274173
0.1309,0.0,11.0,1.0,0.6191353561433721
0.1309,0.0,11.0,3.1622776601683795,0.6180990260610051
0.1309,0.0,11.0,10.0,0.6172630995585804
0.1309,1.5708,11.0,0.1,0.6603779861394473
0.1309,1.5708,11.0,0.31622776601683794,0.720889984423068
0.1309,1.5708,11.0,1.0,0.7665316095505315
0.1309,1.5708,11.0,3.1622776601683795,0.7190220833004253
0.1309,1.5708,11.0,10.0,0.6602370496340174
0.1309,3.14159,11.0,0.1,0.7063915771861516
0.1309,3.14159,11.0,0.31622776601683794,0.859759076531682
0.1309,3.14159,11.0,1.0,1.0
0.1309,3.14159,11.0,3.1622776601683795,0.8600684447280568
0.1309,3.14159,11.0,10.0,0.7066706621328872
0.1309,4.71239,11.0,0.1,0.6575144693281966
0.1309,4.71239,11.0,0.31622776601683794,0.7138435923512794
0.1309,4.71239,11.0,1.0,0.7593978806020242
0.1309,4.71239,11.0,3.1622776601683795,0.7163513584178944
0.1309,4.71239,11.0,10.0,0.6589210117180985
0.1309,6.28319,11.0,0.1,0.617387493868025
0.1309,6.28319,11.0,0.31622776601683794,0.6179395725080483
0.1309,6.28319,11.0,1.0,0.6187925666487574
0.1309,6.28319,11.0,3.1622776601683795,0.6183734140360424
0.1309,6.28319,11.0,10.0,0.617278640543038
0.35997,0.0,11.0,0.1,0.3452090356929028
0.35997,0.0,11.0,0.31622776601683794,0.35751051453662575
0.35997,0.0,11.0,1.0,0.36654413924723533
0.35997,0.0,11.0,3.1622776601683795,0.3580148020424623
0.35997,0.0,11.0,10.0,0.34443909434301795
0.35997,1.5708,11.0,0.1,0.40572222948473063
